outlet,tweets_ago,text,date,compound,positive,neutral,negative
BBC,-53,RT @BBCSport: ?? “The World Cup draw: a very English reaction” https://t.co/iYCNNnUo2K,Fri Dec 01 22:01:08 +0000 2017,0.0,0.0,1.0,0.0
BBC,-54,"RT @BBCSport: FT AFC Fylde 1-1 Wigan

Both teams are still in the hat and in with a chance of landing a draw against the big boys in the th…",Fri Dec 01 22:00:47 +0000 2017,0.25,0.069,0.931,0.0
BBC,-55,"RT @BBCSportWales: FT: #CardiffCity 3-1 Norwich 

The Bluebirds close the gap to leaders Wolverhampton Wanderers to just a point thanks to…",Fri Dec 01 22:00:43 +0000 2017,0.4404,0.132,0.868,0.0
BBC,-56,"RT @BBCSport: FT Leeds 1-1 Aston Villa 

Henri Lansbury earns #AVFC a point against #LUFC in an even game at Elland Road https://t.co/xYzkq…",Fri Dec 01 22:00:37 +0000 2017,0.0,0.0,1.0,0.0
BBC,-57,"Saturday's Daily Mail: ""Tories at war with the police"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/CHBtQEuIsx",Fri Dec 01 21:52:28 +0000 2017,-0.5994,0.0,0.769,0.231
BBC,-58,"Saturday's i weekend: ""Davis threat to quit if deputy PM is fired over porn"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/Pl2D7PPP5s",Fri Dec 01 21:52:24 +0000 2017,-0.7906,0.0,0.682,0.318
BBC,-59,"Saturday's Financial Times Weekend: ""Flynn pleads guilty to lying over Russian ties"" #tomorrowspaperstoday… https://t.co/VcLETDikrA",Fri Dec 01 21:52:22 +0000 2017,-0.7351,0.0,0.659,0.341
BBC,-60,Prince Harry and Meghan Markle complete first joint public engagement since... their engagement… https://t.co/2Ohm4KHBSL,Fri Dec 01 20:57:57 +0000 2017,0.4588,0.188,0.812,0.0
BBC,-61,Toys R Us prepares to shut 25 stores https://t.co/merUbSymON,Fri Dec 01 20:57:27 +0000 2017,0.0,0.0,1.0,0.0
BBC,-62,RT @bbcweather: What's the #weekend got in store? The forecast for the next 48 hours squeezed into 60 seconds. Get your local detail here h…,Fri Dec 01 20:53:53 +0000 2017,0.0,0.0,1.0,0.0
BBC,-63,"RT @BBCSteveR: Want to know more about Volgograd, where England play their opening World Cup match next June? It has one of the world's tal…",Fri Dec 01 20:06:23 +0000 2017,0.4019,0.139,0.861,0.0
BBC,-64,"RT @BBC_HaveYourSay: ""I will have a 70-mile round trip now"" - the lengths people say they'll have to go to with bank branch closures on the…",Fri Dec 01 20:05:53 +0000 2017,0.0,0.0,1.0,0.0
BBC,-65,'Suicide pact' trial: Natasha Gordon found guilty https://t.co/SNUs60mMRt,Fri Dec 01 20:02:31 +0000 2017,-0.8074,0.0,0.451,0.549
BBC,-66,"RT @BBCWorld: Artist rescued after not-so-great 'escape'

https://t.co/cKQrURtq69 https://t.co/RvVwXigmkY",Fri Dec 01 19:31:53 +0000 2017,0.4215,0.259,0.741,0.0
BBC,-67,RT @BBCBusiness: RBS is closing branches. Is your nearest one under threat? https://t.co/qvmDLB6f0W https://t.co/t1AYd5l92u,Fri Dec 01 18:37:43 +0000 2017,-0.5267,0.0,0.793,0.207
BBC,-68,Supermarkets 'raise the price of Christmas biscuits' https://t.co/QmYmXwu7wQ,Fri Dec 01 17:49:56 +0000 2017,0.0,0.0,1.0,0.0
BBC,-69,"Any UK offer to deal with Irish border after #Brexit must be acceptable to Ireland, EU's Donald Tusk says… https://t.co/u4QkhRddYq",Fri Dec 01 17:29:17 +0000 2017,0.3182,0.108,0.892,0.0
BBC,-70,Brexit offer 'must be acceptable to Ireland' https://t.co/GZV3URQgd4,Fri Dec 01 17:27:37 +0000 2017,0.3182,0.247,0.753,0.0
BBC,-71,"Irish PM says he's prepared to ""stand firm"" with EU partners if UK offer ""falls short"" on key #Brexit issues – incl… https://t.co/2S9QEcTg29",Fri Dec 01 17:15:34 +0000 2017,0.2263,0.083,0.917,0.0
BBC,-72,SNP MP rebuked for calling Lords 'ermine vermin' https://t.co/orzcbYNMsP,Fri Dec 01 16:52:11 +0000 2017,0.0,0.0,1.0,0.0
BBC,-73,RT @bbclaurak: Apparently in fact the PM herself does NOT have the final Green report,Fri Dec 01 16:49:53 +0000 2017,0.0,0.0,1.0,0.0
BBC,-74,"RT @BBCSport: Fixtures ?
Times ?
Place ?

Plan your 2018 Fifa #WorldCup here ? https://t.co/ZP8c002zey #WorldCupDraw #bbcfootball https://t…",Fri Dec 01 16:31:25 +0000 2017,0.0,0.0,1.0,0.0
BBC,-75,RT @bbclaurak: Damian Green now heading back to constituency - understand he has not seen contents of report but the PM now has it - source…,Fri Dec 01 16:31:01 +0000 2017,0.0,0.0,1.0,0.0
BBC,-76,"World Cup draw: England play Belgium, Panama and Tunisia in Group G https://t.co/fCHlqcnS8d",Fri Dec 01 16:15:29 +0000 2017,0.34,0.179,0.821,0.0
BBC,-77,"RT @BBCSport: Here it is - the 2018 Fifa #WorldCupDraw in full.

Live reaction ? https://t.co/XhMcEMjVJd

#bbcfootball https://t.co/0VuT9eD…",Fri Dec 01 16:14:25 +0000 2017,0.0,0.0,1.0,0.0
BBC,-78,"RT @BBCSport: Here's how Group G looks for the 2018 Fifa World Cup.

Live reaction ? https://t.co/XhMcEMjVJd #WorldCupDraw #bbcfootball htt…",Fri Dec 01 16:03:34 +0000 2017,0.0,0.0,1.0,0.0
BBC,-79,"RT @BBCSport: Group G

?? Belgium
??????? England

Follow live:

? @BBCTwo
? @bbc5live
? https://t.co/XhMcEMjVJd

#WorldCupDraw #bbcfootball",Fri Dec 01 15:43:39 +0000 2017,0.0,0.0,1.0,0.0
BBC,-80,"RT @BBC_HaveYourSay: ""I can't stop laughing...this is making fun of our intelligence.""
https://t.co/7wbOXilh34",Fri Dec 01 15:43:11 +0000 2017,0.6355,0.32,0.68,0.0
BBC,-81,"RT @BBCSport: The 2018 Fifa #WorldCupDraw is moments away ??

Follow live coverage ? https://t.co/XhMcEMjVJd

Tweet us #bbcfootball https:/…",Fri Dec 01 15:27:37 +0000 2017,0.0,0.0,1.0,0.0
BBC,-82,"Derby Christmas tree 'exclusion zone' was 'over cautious', council says https://t.co/YbNQiAbICt",Fri Dec 01 15:26:50 +0000 2017,-0.296,0.0,0.82,0.18
BBC,-83,"RT @BBCSport: HERE.
WE.
GO!

We're live on @BBCTwo for the #WorldCupDraw!

Watch ? https://t.co/XhMcEMjVJd https://t.co/xAHVpUO9ca",Fri Dec 01 15:01:29 +0000 2017,0.0,0.0,1.0,0.0
BBC,-84,"RT @bbclaurak: That could mean nothing, or it could mean everything",Fri Dec 01 15:00:24 +0000 2017,0.0,0.0,1.0,0.0
BBC,-85,"RT @bbclaurak: After allegations this morning and David Davis’ extraordinary intervention, hearing Damian Green is back in Westminster from…",Fri Dec 01 15:00:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,-86,"RT @BBCSport: The stars are arriving at the Kremlin for the #WorldCupDraw!

Our #bbcfootball live page is under way ?https://t.co/XhMcEMjVJ…",Fri Dec 01 14:49:10 +0000 2017,0.0,0.0,1.0,0.0
BBC,-87,RT @BBCBreaking: Trump's ex-national security adviser Michael Flynn charged with making false statement to FBI in January https://t.co/Zw6t…,Fri Dec 01 14:23:06 +0000 2017,0.1531,0.119,0.792,0.089
BBC,-88,RT @bbcweather: Plans for the #weekend? Here's how the weather's looking. Jo https://t.co/iKWJahdKmb,Fri Dec 01 14:09:53 +0000 2017,0.0,0.0,1.0,0.0
BBC,-89,"RT @BBCSport: Pep Guardiola has been asked by the FA to explain his animated post-match discussion with Southampton's Nathan Redmond.

Read…",Fri Dec 01 14:09:23 +0000 2017,0.0,0.0,1.0,0.0
BBC,-90,"RT @bbctms: Here are your timings for tomorrow's day/night Test @TheAdelaideOval. 

On air for Toss at 3am. 
First ball 3.30
Tea 5.30
Dinne…",Fri Dec 01 13:55:18 +0000 2017,0.0,0.0,1.0,0.0
BBC,-91,David Davis 'warns No 10 not to sack Damian Green' https://t.co/67YkIfSwDS,Fri Dec 01 13:34:27 +0000 2017,-0.3818,0.0,0.714,0.286
BBC,-92,"RT @BBCSport: Remember the chaos &amp; confusion at the 1982 #WorldCupDraw?

Hopefully none of this today!

Watch: https://t.co/VJvFO6J06M http…",Fri Dec 01 13:22:19 +0000 2017,-0.5411,0.108,0.643,0.249
BBC,-93,"RT @BBCSport: Three cities have joined Birmingham to contest the right to host the 2022 Commonwealth Games.

Read more: https://t.co/KVtwy0…",Fri Dec 01 13:08:02 +0000 2017,0.0,0.0,1.0,0.0
BBC,-94,London Olympic Stadium taken over by mayor Sadiq Khan https://t.co/s6OK85DGMa,Fri Dec 01 13:00:57 +0000 2017,0.0,0.0,1.0,0.0
BBC,-95,RT @BBC_HaveYourSay: #AskWoody - did the US ambassador's Twitter Q&amp;A get sidetracked by Trump? https://t.co/pi4m0PECqp,Fri Dec 01 12:57:56 +0000 2017,0.0,0.0,1.0,0.0
BBC,-96,"RT @BBCWorld: Hesitant Europeans - 36%
Contented Europeans - 23%
EU Rejecters - 14%
Frustrated Pro-Europeans - 9%
Austerity Rebels - 9%
Fed…",Fri Dec 01 12:33:03 +0000 2017,-0.765,0.094,0.512,0.394
BBC,-97,Carl Sargeant funeral taking place in Connah's Quay https://t.co/5fpD12NhvA,Fri Dec 01 12:11:37 +0000 2017,-0.3612,0.0,0.762,0.238
BBC,-98,David Dearlove found guilty of 1968 Paul Booth murder https://t.co/53SUalSqRp,Fri Dec 01 12:11:37 +0000 2017,-0.8176,0.0,0.516,0.484
BBC,-99,RT @BBCDanielS: Damian Green's response today https://t.co/02ImPFqrIH,Fri Dec 01 11:54:14 +0000 2017,0.0,0.0,1.0,0.0
CBS,0,Stream Indiana at Michigan LIVE today at 12:30PM ET with a 1-month FREE trial of #CBSAllAccess. Just use promo code… https://t.co/xRem3zSyEQ,Sat Dec 02 15:55:39 +0000 2017,0.6166,0.175,0.825,0.0
CBS,-1,Kristin Chenoweth (@KChenoweth) explains why audiences still crave Carol Burnett! Don't miss The Carol Burnett 50th… https://t.co/kM92NTtTfs,Sat Dec 02 14:30:03 +0000 2017,0.1867,0.098,0.902,0.0
CBS,-2,"Catch up on this amazing lineup of music specials! Here's how to watch Bruno Mars: 24K Magic Live at the Apollo, Th… https://t.co/Jit2CzZJCY",Sat Dec 02 13:00:07 +0000 2017,0.6996,0.179,0.821,0.0
CBS,-3,Missed Bruno Mars: 24K Magic Live at the Apollo? Keep up! Watch the full show: https://t.co/itXpGB5gRm #BrunoMars https://t.co/8yyQlC1LML,Sat Dec 02 12:00:03 +0000 2017,-0.3595,0.0,0.872,0.128
CBS,-4,Reminisce with these classic photos and get ready to relive the magic when The Carol Burnett 50th Anniversary Speci… https://t.co/yJQEzCjoSA,Fri Dec 01 22:43:05 +0000 2017,0.3612,0.116,0.884,0.0
CBS,-5,"RT @LivinBiblically: In the beginning, there was Chip. And lo! Chip had a revelation. #LivingBiblically is a new comedy premiering Monday,…",Fri Dec 01 22:15:28 +0000 2017,0.4199,0.134,0.866,0.0
CBS,-6,"Discover these pro football stars' off-the-field talents in MVP: Most Valuable Performer, airing Jan 25 on CBS! Fin… https://t.co/g8jSRW8mQf",Fri Dec 01 21:00:12 +0000 2017,0.7707,0.282,0.718,0.0
CBS,-7,"Find out when #BigBrother celebrity edition, #AmazingRace, #Survivor, new drama @instinctcbs and new comedy… https://t.co/4Psl74zcCB",Fri Dec 01 20:17:18 +0000 2017,0.0,0.0,1.0,0.0
CBS,-8,Actress @BethBehrs explains why Carol Burnett is her hero! Celebrate her lasting influence with The Carol Burnett 5… https://t.co/Lnt5P9jEu0,Fri Dec 01 19:32:18 +0000 2017,0.8221,0.309,0.691,0.0
CBS,-9,"RT @instinctcbs: New drama #Instinct, starring @Alancumming, premieres Sunday, March 11 on @CBS! https://t.co/aaL0JXpqav",Fri Dec 01 18:40:34 +0000 2017,0.0,0.0,1.0,0.0
CBS,-10,"RT @AmazingRaceCBS: On your marks... #AmazingRace returns Wednesday, January 3! https://t.co/XMSJSUymUZ",Fri Dec 01 18:16:37 +0000 2017,0.0,0.0,1.0,0.0
CBS,-11,RT @CBSBigBrother: Mark. Your. Calendars. The celebrity edition of #BigBrother premieres February 7! https://t.co/nP3Do6jTwM,Fri Dec 01 18:10:11 +0000 2017,0.0,0.0,1.0,0.0
CBS,-12,The Angels await you... catch up on the world's most celebrated fashion show now! Watch the full 2017… https://t.co/xfYDbEzpfX,Fri Dec 01 14:00:04 +0000 2017,0.6893,0.251,0.749,0.0
CBS,-13,"Comedy stars Amy Poehler, Bill Hader, @MayaRudolph &amp; @TraceeEllisRoss give the legendary Tarzan yell a try- but no… https://t.co/lrrHE2f9Nv",Fri Dec 01 12:00:03 +0000 2017,0.1901,0.093,0.907,0.0
CBS,-14,Action-adventure series 'Blood &amp; Treasure' has been picked up for broadcast in Summer 2019: https://t.co/gAjqbF5bYh https://t.co/3cTBH9AKFI,Fri Dec 01 01:31:30 +0000 2017,0.296,0.128,0.872,0.0
CBS,-15,Carol Burnett visited @TheTalkCBS to discuss how she got her start in show business! Watch The Carol Burnett 50th A… https://t.co/EyqmFWZHEC,Thu Nov 30 21:10:19 +0000 2017,0.0,0.0,1.0,0.0
CBS,-16,"The world's most beloved fairy tales are reimagined as a dark &amp; twisted psychological thriller in ""Tell Me A Story,… https://t.co/CytIswrRj1",Thu Nov 30 20:54:39 +0000 2017,0.6115,0.227,0.773,0.0
CBS,-17,RT @RansomCBS: #Ransom star @luke_j_roberts on set in Budapest for Season 2! https://t.co/rgC5ylqSMp,Thu Nov 30 17:40:02 +0000 2017,0.0,0.0,1.0,0.0
CBS,-18,Comic @JayLeno reflects on the major impression Carol Burnett left on him. Celebrate The Carol Burnett 50th Anniver… https://t.co/PIakndHJt1,Thu Nov 30 17:30:05 +0000 2017,0.6808,0.248,0.752,0.0
CBS,-19,"Watch #BrunoMars perform ""That's What I Like"" in Bruno Mars: 24K Magic Live at the Apollo: https://t.co/hAFcB9HpE3 https://t.co/I7ZWHdDYCP",Thu Nov 30 15:00:05 +0000 2017,0.3612,0.135,0.865,0.0
CBS,-20,"Watch #BrunoMars perform ""24K Magic"" in Bruno Mars: 24K Magic Live at the Apollo: https://t.co/UgD4fC5cS6 https://t.co/iTGKJSbjwY",Thu Nov 30 12:00:03 +0000 2017,0.0,0.0,1.0,0.0
CBS,-21,Missed Bruno Mars: 24K Magic Live at the Apollo Theater? Keep up! Watch the full show: https://t.co/itXpGB5gRm… https://t.co/nkRMIUd2Df,Thu Nov 30 07:52:09 +0000 2017,-0.3595,0.0,0.872,0.128
CBS,-22,RT @CWatkinsTV: That. Was. Amazing! #BrunoMars,Thu Nov 30 04:09:55 +0000 2017,0.6239,0.45,0.55,0.0
CBS,-23,The stage is ?? #BrunoMars https://t.co/nykrDH46Bs,Thu Nov 30 04:00:27 +0000 2017,0.0,0.0,1.0,0.0
CBS,-24,RT @anitakearney65: I could watch this all night #Brunomars #BrunosTvSpecial so much fun to watch OMG,Thu Nov 30 03:59:09 +0000 2017,0.5542,0.204,0.796,0.0
CBS,-25,Everybody put your hands up! #BrunoMars https://t.co/jU7NyttAqv,Thu Nov 30 03:55:37 +0000 2017,0.0,0.0,1.0,0.0
CBS,-26,RT @Sara_nurse: My 2yr old niece heard @BrunoMars and is now up singing and dancing #BrunosTVSpecial #BrunoMars,Thu Nov 30 03:51:38 +0000 2017,0.0,0.0,1.0,0.0
CBS,-27,"RT @AllieNY86: His voice is mesmerizing 
#BrunoMars",Thu Nov 30 03:44:54 +0000 2017,0.0,0.0,1.0,0.0
CBS,-28,RT @BrunoMars: We love you MARY!!!! ?? #BrunosTvSpecial,Thu Nov 30 03:37:13 +0000 2017,0.7482,0.434,0.566,0.0
CBS,-29,RT @RDMichelleLNK: Loving a dose of #BrunoMars midweek. So amazing!,Thu Nov 30 03:35:13 +0000 2017,0.8513,0.542,0.458,0.0
CBS,-30,We’re only halfway into the show. Get ready for more of your favorite #BrunoMars tunes! https://t.co/BJh0PeX864,Thu Nov 30 03:33:32 +0000 2017,0.7232,0.302,0.698,0.0
CBS,-31,"When #BrunoMars tells you to pick up the phone, that’s exactly what you do. https://t.co/JZDS26h3lL",Thu Nov 30 03:23:03 +0000 2017,0.0,0.0,1.0,0.0
CBS,-32,RT @MargoSlade: Best way to relax after a hard day of work watching #BrunoMars on #BrunosTVSpecial my heart is the happiest,Thu Nov 30 03:11:31 +0000 2017,0.8979,0.394,0.557,0.049
CBS,-33,RT @Tiffany48184: Now that's how you open up a show!!!!! #BrunoMars,Thu Nov 30 03:09:54 +0000 2017,0.0,0.0,1.0,0.0
CBS,-34,RT if you’re ready to party with #BrunoMars!! https://t.co/o4qQoKOzgH,Thu Nov 30 03:07:20 +0000 2017,0.6988,0.452,0.548,0.0
CBS,-35,RT @BrunoMars: POP POP!!?? everyone tweet #BrunosTvSpecial! We on!!!! ?,Thu Nov 30 03:06:38 +0000 2017,0.0,0.0,1.0,0.0
CBS,-36,RT @Queentassia14: Bruno Mars Live at the Apollo!!!! Yeah I have to wake up at like 4 am for work.... but it's worth it. #BrunoMars #Brunos…,Thu Nov 30 03:03:15 +0000 2017,0.7067,0.246,0.754,0.0
CBS,-37,RT @asbstar30: BRUNO #BrunoMars,Thu Nov 30 03:02:34 +0000 2017,0.0,0.0,1.0,0.0
CBS,-38,"Get on your feet, and prepare to dance. #BrunoMars is hitting the stage! https://t.co/yOyq8JlMZj",Thu Nov 30 02:59:59 +0000 2017,0.0,0.0,1.0,0.0
